Biscuit,186
Croissant,231
Muffin,313
Breakfast bar,197
Cereal bar with fruit,135
Chocolate chip cookie,98
Chocolate sandwich,93
Coconut macaroons,194
Fig,111
Ginger snaps,58
Graham crackers,59
Granola bar,105
Molasses,129
Muffin bar,178
Oatmeal,134
Shortbread,80
Sugar cookies,143
Vanilla wafers,57
Banana bread,196
Boston cream pie,232
Brownies homemade,168
Carrot cake,542
Cherry Cheesecake,459
Chocolate cake,408
Fruitcake,139
Gingerbread,212
Pound cake,391
Shortcake,234
Sponge cake,187
Apple pie,296
Butter tart,248
Fried pie fruit,404
Mincemeat pie,477
Pecan pie,452
Pumpkin pie,229
Sugar pie,407
Apple crisp,206
Bread pudding,162
Danish pastry,263
Date squares,226
Doughnut,198
Rice Krispies,91
Pop-Tarts,215
