Chai latte,149
Coffee brewed,2.5
Coffee brewed decaffeinated,2.5
Coffee instant regular powder + water,5
Coffee latte,101
Coffee substitute powder + water,13
Iced cappuccino - original - with cream (Tim HortonsTM),211
Iced cappuccino - with 2% milk (Tim HortonsTM),127
Iced coffee Frappuccino (StarbucksTM),127
Iced tea lemon flavor ready-to-drink,91
Iced tea lemon flavour powder + water,93
Tea brewed,3
Tea brewed herbal,3
Club soda,0
Cola,110
Cola aspartame sweetened,3
Cola decaffeinated,107
Ginger ale,88
Lemon-lime soda,104
Non cola soda aspartame sweetened,0
Orange soda,126
Tonic water,124
Citrus juice drink frozen diluted (Five AliveTM),131
Fruit flavour drink low Calorie powder + water (Crystal LightTM),3
Fruit punch flavour drink powder (Kool-AidTM) + water,102
Fruit punch flavour drink vitamin C added powder + water,102
Fruit punch juice drink ready-to-drink (Sunny DTM),123
Lemonade pink or white frozen diluted,105
Mixed vegetable and fruit juice drink ready-to-drink (V8 SplashTM),113
Orange drink vitamin C added (Hi-CTM) ready-to-drink,134
Orange drink vitamin C added (TangTM QuenchTM Rise'n ShineTM) powder + water,135
Sports drink fruit flavour low Calorie ready-to-drink (GatoradeTM PoweradeTM),29
Sports drink fruit flavour ready-to-drink (GatoradeTM PoweradeTM),67
Water mineral (PerrierTM),0
Water municipal,0
Beer de-alcoholized (Labbat .5TM),210
Beer high alcohol (7%alcohol by volume),183
Beer light (4% alcohol by volume),99
Beer regular (5% alcohol by volume),140
Cocktail daiquiri,237
Cocktail margarita,246
Liqueur coffee and cream,172
Sangria,87
Spirits (gin rum vodka whisky),109
Vodka cooler,220
Wine dessert sweet,203
Wine table red,90
Wine table white,85
